gene_id,gene_name
387,ZBTB8OS
388,RBBP4
389,SYNC
390,KIAA1522
391,YARS
392,S100PBP
393,FNDC5
394,TMEM54
395,AL031602.2
396,RNF19B
397,AL020995.1
398,AK2
399,AZIN2
400,TRIM62
401,ZNF362
402,AL513327.1
403,PHC2
404,AL513327.2
405,ZSCAN20
406,CSMD2
407,SMIM12
408,DLGAP3
409,TMEM35B
410,ZMYM6
411,ZMYM1
412,SFPQ
413,ZMYM4
414,ZMYM4-AS1
415,KIAA0319L
416,NCDN
417,AC004865.2
418,TFAP2E
419,PSMB2
420,C1orf216
421,CLSPN
422,AGO4
423,AGO1
424,AGO3
425,AL138787.2
426,ADPRHL2
427,COL8A2
428,TRAPPC3
429,MAP7D1
430,THRAP3
431,SH3D21
432,EVA1B
433,STK40
434,LSM10
435,OSCP1
436,MRPS15
437,CSF3R
438,GRIK3
439,AL031430.1
440,LINC01137
441,MEAF6
442,SNIP1
443,DNALI1
444,GNL2
445,C1orf109
446,CDCA8
447,EPHA10
448,MANEAL
449,YRDC
450,C1orf122
451,MTF1
452,INPP5B
453,SF3A3
454,FHL3
455,UTP11
456,POU3F1
457,MIR3659HG
458,RRAGC
459,AL139260.1
460,MYCBP
461,GJA9
462,RHBDL2
463,AKIRIN1
464,NDUFS5
465,MACF1
466,AL442071.1
467,BMP8A
468,PABPC4
469,PABPC4-AS1
470,HEYL
471,PPIE
472,BMP8B
473,AL033527.4
474,TRIT1
475,MYCL
476,MFSD2A
477,CAP1
478,PPT1
479,RLF
480,AL050341.2
481,ZMPSTE24
482,COL9A2
483,SMAP2
484,AL031985.4
485,ZFP69B
486,AL031985.3
487,ZFP69
488,AL603839.3
489,EXO5
490,ZNF684
491,AL356379.2
492,RIMS3
493,NFYC-AS1
494,NFYC
495,KCNQ4
496,CITED4
497,CTPS1
498,SLFNL1-AS1
499,SLFNL1
500,SCMH1
501,AC093151.8
502,FOXO6
503,HIVEP3
504,FOXJ3
505,RIMKLA
506,ZMYND12
507,PPCS
508,CCDC30
509,PPIH
510,AC098484.4
511,YBX1
512,CLDN19
513,P3H1
514,C1orf50
515,TMEM269
516,SVBP
517,ERMAP
518,AL512353.1
519,ZNF691
520,SLC2A1
521,SLC2A1-AS1
522,EBNA1BP2
523,CFAP57
524,TIE1
525,AL139289.2
526,ELOVL1
527,MED8
528,SZT2
529,HYI
530,PTPRF
531,KDM4A
532,KDM4A-AS1
533,ST3GAL3
534,AL451062.1
535,AL357079.1
536,IPO13
537,DPH2
538,ATP6V0B
539,B4GALT2
540,CCDC24
541,AL139220.2
542,DMAP1
543,ERI3
544,RNF220
545,TMEM53
546,ARMH1
547,KIF2C
548,AL592166.1
549,RPS8
550,PLK3
551,BTBD19
552,PTCH2
553,EIF2B3
554,HECTD3
555,UROD
556,ZSWIM5
557,HPDL
558,MUTYH
559,TOE1
560,TESK2
561,CCDC163
562,MMACHC
563,PRDX1
564,AKR1A1
565,NASP
566,CCDC17
567,GPBP1L1
568,TMEM69
569,IPP
570,MAST2
571,PIK3R3
572,AL358075.2
573,POMGNT1
574,LURAP1
575,LRRC41
576,UQCRH
577,NSUN4
578,FAAH
579,MKNK1
580,MOB3C
581,ATPAF1
582,EFCAB14
583,CYP4B1
584,CYP4X1
585,CYP4Z1
586,CYP4A22-AS1
587,TAL1
588,STIL
589,CMPK1
590,LINC01389
591,FOXD2-AS1
592,FOXD2
593,TRABD2B
594,LINC02794
595,AL109659.1
596,SLC5A9
597,SPATA6
598,AGBL4
599,BEND5
600,AC099788.1
601,AL590432.1
602,ELAVL4
603,LINC02808
604,AL592182.3
605,FAF1
606,AL049637.1
607,CDKN2C
608,LINC01562
609,RNF11
610,TTC39A
611,EPS15
612,AC104170.2
613,AC104170.1
614,OSBPL9
615,NRDC
616,AL050343.2
617,RAB3B
618,TXNDC12
619,KTI12
620,AL445685.1
621,BTF3L4
622,ZFYVE9
623,CC2D1B
624,ORC1
625,PRPF38A
626,TUT4
627,GPX7
628,SHISAL2A
629,COA7
630,ZYG11B
631,ECHDC2
632,SCP2
633,PODN
634,CPT2
635,AL606760.2
636,CZIB
637,MAGOH
638,AL606760.1
639,LRP8
640,LINC01771
641,GLIS1
