Dataset,Cell_or_nuclei,donor_ID,SpinalRegion,Level,Atlas_annotation,Sex,Age,Platform,cell_id
U19_HMS,Nuclei,unassigned,Unknown,unassigned,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,55
U19_HMS,Nuclei,unassigned,Unknown,unassigned,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,56
U19_HMS,Nuclei,G-175,Lumbar,L5,C-NP.SST,M,47,10x 3' RNA,57
U19_HMS,Nuclei,G-131,Lumbar,L2,A-Propr.EPHA3,F,52,10x 3' RNA,58
U19_HMS,Nuclei,unassigned,Unknown,unassigned,ATF3,unassigned,unassigned,10x 3' RNA,59
U19_HMS,Nuclei,G-128,Lower Thoracic,T11,C-PEP.TAC1/CACNG5,M,>90,10x 3' RNA,60
U19_HMS,Nuclei,G-133,Unknown,unassigned,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,61
U19_HMS,Nuclei,G-175,Lumbar,L5,A-Propr.EPHA3,M,47,10x 3' RNA,62
U19_HMS,Nuclei,unassigned,Unknown,unassigned,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,63
U19_HMS,Nuclei,G-182,Lumbar,L5,C-PEP.TAC1/CACNG5,F,52,10x 3' RNA,64
U19_HMS,Nuclei,,Unknown,unassigned,C-PEP.TAC1/CHRNA3,unassigned,unassigned,10x 3' RNA,65
U19_HMS,Nuclei,G-175,Lumbar,L5,C-NP.MRGPRX1/GFRA2,M,47,10x 3' RNA,66
U19_HMS,Nuclei,G-131,Lumbar,L2,A-PEP.CHRNA7/SLC18A3,F,52,10x 3' RNA,67
U19_HMS,Nuclei,unassigned,Unknown,unassigned,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,68
U19_HMS,Nuclei,G-164,Unknown,unassigned,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,69
U19_HMS,Nuclei,G-175,Lumbar,L5,C-NP.SST,M,47,10x 3' RNA,70
U19_HMS,Nuclei,G-175,Lumbar,L5,C-PEP.TAC1/CACNG5,M,47,10x 3' RNA,71
U19_HMS,Nuclei,G-175,Lumbar,L5,C-NP.MRGPRX1/GFRA2,M,47,10x 3' RNA,72
U19_HMS,Nuclei,G-175,Lumbar,L5,A-PEP.KIT,M,47,10x 3' RNA,73
U19_HMS,Nuclei,G-131,Lumbar,L2,Ab-LTMR.CCKAR,F,52,10x 3' RNA,74
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-LTMR.TAC3,unassigned,unassigned,10x 3' RNA,75
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-LTMR.TAC3,unassigned,unassigned,10x 3' RNA,76
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,77
U19_HMS,Nuclei,G-175,Unknown,Unk,Ab-LTMR.LGI2,unassigned,unassigned,10x 3' RNA,78
U19_HMS,Nuclei,G-175,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,79
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,80
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,81
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,82
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,83
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,84
U19_HMS,Nuclei,G-134,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,85
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,86
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.CHRNA7/SLC18A3,unassigned,unassigned,10x 3' RNA,87
U19_HMS,Nuclei,G-103,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,88
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,89
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.NTRK3/S100A16,unassigned,unassigned,10x 3' RNA,90
U19_HMS,Nuclei,G-172,Unknown,Unk,C-Thermo.TRPM8,unassigned,unassigned,10x 3' RNA,91
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,92
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,93
U19_HMS,Nuclei,G-210,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,94
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,95
U19_HMS,Nuclei,G-255,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,96
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.LGI2,unassigned,unassigned,10x 3' RNA,97
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,98
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,99
U19_HMS,Nuclei,Unknown,Unknown,Unk,ATF3,unassigned,unassigned,10x 3' RNA,100
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,101
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,102
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,103
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-LTMR.TAC3,unassigned,unassigned,10x 3' RNA,104
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,105
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.EPHA3,unassigned,unassigned,10x 3' RNA,106
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,107
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,108
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,109
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,110
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.KIT,unassigned,unassigned,10x 3' RNA,111
U19_HMS,Nuclei,G-210,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,112
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,113
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,114
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.ETV1,unassigned,unassigned,10x 3' RNA,115
U19_HMS,Nuclei,G-181,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,116
U19_HMS,Nuclei,G-133,Unknown,Unk,C-NP.MRGPRX1/GFRA2,unassigned,unassigned,10x 3' RNA,117
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,118
U19_HMS,Nuclei,G-210,Unknown,Unk,C-PEP.TAC1/CACNG5,unassigned,unassigned,10x 3' RNA,119
U19_HMS,Nuclei,unassigned,Unknown,Unk,Ab-LTMR.NSG2,unassigned,unassigned,10x 3' RNA,120
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.CHRNA7/SLC18A3,unassigned,unassigned,10x 3' RNA,121
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,122
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,123
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,124
U19_HMS,Nuclei,unassigned,Unknown,Unk,A-PEP.SCGN/ADRA2C,unassigned,unassigned,10x 3' RNA,125
U19_HMS,Nuclei,G-210,Unknown,Unk,A-PEP.CHRNA7/SLC18A3,unassigned,unassigned,10x 3' RNA,126
U19_HMS,Nuclei,unassigned,Unknown,Unk,C-NP.SST,unassigned,unassigned,10x 3' RNA,127
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.PCDH8,unassigned,unassigned,10x 3' RNA,128
U19_HMS,Nuclei,G-210,Unknown,Unk,A-Propr.HAPLN4,unassigned,unassigned,10x 3' RNA,129
