Dataset,Cell_or_nuclei,donor_ID,SpinalRegion,Level,Atlas_annotation,Sex,Age,Platform,cell_id
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12612
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12613
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12614
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12615
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12616
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12617
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12618
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12619
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12620
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12621
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12622
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12623
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12624
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12625
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12626
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.ADORA2B,M,56,10x FLEX,12627
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12628
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12629
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12630
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12631
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12632
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12633
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12634
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12635
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12636
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12637
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12638
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12639
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12640
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12641
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12642
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12643
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12644
U19_UTD,Nuclei,50AL,Cervical,C2,C-Thermo.RXFP1,M,56,10x FLEX,12645
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12646
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12647
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12648
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12649
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12650
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12651
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12652
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12653
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12654
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12655
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12656
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12657
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12658
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12659
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12660
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12661
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12662
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12663
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12664
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12665
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12666
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12667
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12668
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12669
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12670
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12671
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12672
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12673
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12674
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12675
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12676
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12677
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12678
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12679
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.LGI2,M,56,10x FLEX,12680
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12681
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12682
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12683
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12684
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.LGI2,M,56,10x FLEX,12685
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12686
U19_UTD,Nuclei,50AL,Cervical,C2,C-LTMR.CDH9,M,56,10x FLEX,12687
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12688
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12689
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12690
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12691
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12692
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12693
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12694
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12695
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12696
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12697
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12698
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12699
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12700
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12701
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12702
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12703
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12704
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12705
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12706
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12707
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12708
U19_UTD,Nuclei,50AL,Cervical,C2,A-LTMR.TAC3,M,56,10x FLEX,12709
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12710
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12711
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12712
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12713
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12714
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12715
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12716
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12717
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12718
U19_UTD,Nuclei,50AL,Cervical,C2,C-Thermo.RXFP1,M,56,10x FLEX,12719
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12720
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.LGI2,M,56,10x FLEX,12721
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12722
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12723
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12724
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.NTRK3/S100A16,M,56,10x FLEX,12725
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12726
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12727
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12728
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12729
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12730
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12731
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12732
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12733
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12734
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12735
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12736
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12737
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12738
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12739
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12740
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12741
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12742
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12743
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12744
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12745
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12746
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12747
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12748
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12749
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12750
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12751
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12752
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12753
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12754
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12755
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12756
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12757
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12758
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12759
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12760
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.LGI2,M,56,10x FLEX,12761
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12762
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12763
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12764
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12765
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12766
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12767
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12768
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12769
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12770
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12771
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12772
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12773
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12774
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12775
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12776
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12777
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12778
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12779
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12780
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.ETV1,M,56,10x FLEX,12781
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12782
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12783
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12784
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.KIT,M,56,10x FLEX,12785
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12786
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12787
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12788
U19_UTD,Nuclei,50AL,Cervical,C2,C-LTMR.CDH9,M,56,10x FLEX,12789
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12790
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12791
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12792
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12793
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12794
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12795
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12796
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12797
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12798
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12799
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12800
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12801
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12802
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12803
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12804
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12805
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12806
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12807
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12808
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12809
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12810
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12811
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12812
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12813
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.PCDH8,M,56,10x FLEX,12814
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12815
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12816
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12817
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12818
U19_UTD,Nuclei,50AL,Cervical,C2,ATF3,M,56,10x FLEX,12819
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12820
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12821
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12822
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12823
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CHRNA3,M,56,10x FLEX,12824
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12825
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12826
U19_UTD,Nuclei,50AL,Cervical,C2,C-Thermo.TRPM8,M,56,10x FLEX,12827
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12828
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12829
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12830
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12831
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.CHRNA7/SLC18A3,M,56,10x FLEX,12832
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12833
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12834
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12835
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12836
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12837
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12838
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.NSG2,M,56,10x FLEX,12839
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.TAC1/CACNG5,M,56,10x FLEX,12840
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12841
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.EPHA3,M,56,10x FLEX,12842
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12843
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12844
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12845
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12846
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12847
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12848
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12849
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.SST,M,56,10x FLEX,12850
U19_UTD,Nuclei,50AL,Cervical,C2,A-LTMR.TAC3,M,56,10x FLEX,12851
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12852
U19_UTD,Nuclei,50AL,Cervical,C2,C-Thermo.RXFP1,M,56,10x FLEX,12853
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12854
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12855
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12856
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12857
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12858
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12859
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12860
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/MRGPRX4,M,56,10x FLEX,12861
U19_UTD,Nuclei,50AL,Cervical,C2,C-NP.MRGPRX1/GFRA2,M,56,10x FLEX,12862
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12863
U19_UTD,Nuclei,50AL,Cervical,C2,A-Propr.HAPLN4,M,56,10x FLEX,12864
U19_UTD,Nuclei,50AL,Cervical,C2,Ab-LTMR.CCKAR,M,56,10x FLEX,12865
U19_UTD,Nuclei,50AL,Cervical,C2,A-PEP.SCGN/ADRA2C,M,56,10x FLEX,12866
U19_UTD,Nuclei,50AL,Cervical,C2,C-PEP.ADORA2B,M,56,10x FLEX,12867
U19_UTD,Nuclei,50AL,Cervical,C2,ATF3,M,56,10x FLEX,12868
